,Name,Date,Time,Category,SubCategory,Max,Min,SalesStart,SalesEnd,Status,City,State,Latitude,Longitude,Description,Currency,URL,ID,Venues
10,New Orleans Pelicans vs. Phoenix Suns,2024-04-01,19:00:00,Basketball,NBA,N/A,N/A,1900-01-01 18:00:00,2024-04-02 00:00:00,onsale,New Orleans,Louisiana,29.9429,-90.082802,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdJ9uI,Z7r9jZ1AdJ9uI,Smoothie King Center
11,Minnesota Timberwolves vs. Phoenix Suns,2024-04-14,14:30:00,Basketball,NBA,N/A,N/A,1900-01-01 18:00:00,2024-04-14 19:30:00,onsale,Minneapolis,Minnesota,44.970299,-93.286102,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdJ9AK,Z7r9jZ1AdJ9AK,Target Center
12,Milwaukee Bucks vs Phoenix Suns (Premium Spaces),2024-03-17,12:00:00,Basketball,NBA,N/A,N/A,2009-09-12 01:00:00,2024-03-17 17:00:00,onsale,Milwaukee,Wisconsin,43.04228,-87.916896,N/A,N/A,https://offer.fevo.com/bucks-vs-suns-premium-spaces-2465c0d,vvG1jZ9MdsQVHo,Fiserv Forum
13,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-03-02,20:00:00,Rock,Pop,195.0,195.0,2023-12-08 20:00:00,2024-03-03 05:00:00,onsale,Las Vegas,Nevada,36.1207267,-115.1642896,"This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.",USD,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-03-02-2024/event/17005F6CEFFB6891,G5vjZ9USRXUxo,Sphere
14,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-03-01,20:00:00,Rock,Pop,195.0,195.0,2023-12-08 20:00:00,2024-03-02 05:00:00,onsale,Las Vegas,Nevada,36.1207267,-115.1642896,"This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.",USD,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-03-01-2024/event/17005F6CEFF26875,G5vjZ9USRHJ-g,Sphere
15,P!NK: Summer Carnival 2024,2024-08-21,18:30:00,Rock,Pop,340.0,59.11,2023-12-11 15:00:00,2024-08-22 00:30:00,onsale,Foxborough,Massachusetts,42.090918,-71.264321,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-foxborough-massachusetts-08-21-2024/event/01005F7EBE926E76,vvG17Z9MBX0JyU,Gillette Stadium
16,P!NK: Summer Carnival 2024,2024-11-06,18:30:00,Rock,Pop,374.95,30.0,2022-11-21 16:00:00,2024-11-07 02:30:00,rescheduled,Arlington,Texas,32.747242,-97.083796,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-arlington-texas-11-06-2024/event/0C005C5CD48C4981,vvG1YZ9ASfN7Jv,Globe Life Field
17,P!NK: Summer Carnival 2024,2024-08-24,18:30:00,Rock,Pop,349.95,49.95,2023-12-11 16:00:00,2024-08-25 00:30:00,onsale,Chicago,Illinois,41.86205404,-87.61682143,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-chicago-illinois-08-24-2024/event/04005F7E38AA42DD,vvG18Z9Mzzn05q,Soldier Field
18,P!NK: Summer Carnival 2024,2024-08-10,18:30:00,Rock,Pop,339.95,39.95,2023-12-11 16:00:00,2024-08-11 01:30:00,onsale,St Louis,Missouri,38.630801,-90.191488,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-st-louis-missouri-08-10-2024/event/06005F7CA0C41A76,vvG1bZ9MwOsvtU,The Dome at America's Center
19,P!NK: Summer Carnival 2024,2024-08-18,18:30:00,Rock,Pop,319.95,49.95,2023-12-11 15:00:00,2024-08-18 23:30:00,onsale,Philadelphia,Pennsylvania,39.900706,-75.167406,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-philadelphia-pennsylvania-08-18-2024/event/02005F7DD1CF64D1,vvG1FZ9MMoSUKo,Lincoln Financial Field
20,P!NK: Summer Carnival 2024,2024-10-06,18:30:00,Rock,Pop,330.0,49.95,2023-12-11 15:00:00,2024-10-07 01:30:00,onsale,Syracuse,New York,43.03626312,-76.1361305,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-syracuse-new-york-10-06-2024/event/00005F76B17B20E2,k7vGF9MQsrwdx,JMA Wireless Dome 
21,P!NK: Summer Carnival 2024,2024-10-03,18:30:00,Rock,Pop,326.0,56.0,2023-12-11 15:00:00,2024-10-04 01:30:00,onsale,East Rutherford,New Jersey,40.81359,-74.074493,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-east-rutherford-new-jersey-10-03-2024/event/00005F81E2956EE8,k7vGF9z6xPpDI,MetLife Stadium
22,P!NK: Summer Carnival 2024,2024-10-01,18:30:00,Rock,Pop,319.95,49.95,2023-12-11 15:00:00,2024-10-01 22:30:00,onsale,Hershey,Pennsylvania,40.290715,-76.660281,"We are now a cashless venue. All major credit cards are accepted. Patrons 2yrs and older require a ticket. Artist(s) subject to change. Due to security enhancements, please arrive at least 45-60 minutes prior to event time. Please only bring essential items with you. Hersheypark Stadium will only permit bags 5""x8""x1"" or smaller, which includes hand clutches, wristlets and small purses. Any bags/backpacks that are larger in size will need to be returned to the owners vehicle or disposed of. No audio/video recording. Rain Or Shine Tickets can be purchased online up until the event start time. After this time, if tickets are still available, they can be purchased at the Hersheypark Stadium Box Office.",USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-hershey-pennsylvania-10-01-2024/event/02005F81A4B54945,vvG1FZ9zk0cfPA,Hersheypark Stadium
23,P!NK Live 2024,2024-09-03,19:30:00,Rock,Pop,384.0,74.0,2023-02-24 18:00:00,2024-09-04 03:30:00,rescheduled,Tacoma,Washington,47.23634,-122.426834,N/A,USD,https://www.ticketmaster.com/pnk-live-2024-tacoma-washington-09-03-2024/event/0F005E4ABAA12BC6,vvG1HZ90nBI3Rk,Tacoma Dome
24,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-03-02,20:00:00,Rock,Pop,375.0,95.0,2023-12-08 20:00:00,2024-03-03 05:00:00,onsale,Las Vegas,Nevada,36.1207267,-115.1642896,"This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.",USD,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-03-02-2024/event/17005F6CEFF7688E,G5vjZ9USRWUxC,Sphere
25,P!NK: Summer Carnival 2024,2024-10-12,18:30:00,Rock,Pop,299.95,49.95,2023-12-11 15:00:00,2024-10-12 22:30:00,onsale,Indianapolis,Indiana,39.76007,-86.163821,"All individuals attending this event must have a ticket, regardless of age. Clear Bag Policy will be in effect.",USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-indianapolis-indiana-10-12-2024/event/05005F7ECA5558EC,vvG1fZ9MD144Ni,Lucas Oil Stadium
26,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-03-01,20:00:00,Rock,Pop,375.0,95.0,2023-12-08 20:00:00,2024-03-02 05:00:00,onsale,Las Vegas,Nevada,36.1207267,-115.1642896,"This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.",USD,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-03-01-2024/event/17005F6CEFEC686C,G5vjZ9USRDk-i,Sphere
27,P!NK Live 2024,2024-09-04,19:30:00,Rock,Pop,299.95,63.95,2023-02-24 18:00:00,2024-09-05 03:30:00,rescheduled,Tacoma,Washington,47.23634,-122.426834,N/A,USD,https://www.ticketmaster.com/pnk-live-2024-tacoma-washington-09-04-2024/event/0F005E4ABAA52BE0,vvG1HZ90nBt3RO,Tacoma Dome
28,Eagles - The Long Goodbye,2024-03-16,19:30:00,Rock,Pop,499.5,129.5,2023-11-17 15:00:00,2024-03-17 01:30:00,onsale,Charlotte,North Carolina,35.225222,-80.839921,N/A,USD,https://www.ticketmaster.com/eagles-the-long-goodbye-charlotte-north-carolina-03-16-2024/event/2D005F678E292443,G5eVZ9UrC13od,Spectrum Center 
29,Eagles - The Long Goodbye,2024-03-04,19:30:00,Rock,Pop,495.0,145.0,2023-11-17 15:00:00,2024-03-05 00:30:00,onsale,Orlando,Florida,28.539293,-81.383957,N/A,USD,https://www.ticketmaster.com/eagles-the-long-goodbye-orlando-florida-03-04-2024/event/22005F5A96880E14,G5eFZ9gnpxZzf,Kia Center
30,LA Clippers vs. Los Angeles Lakers,2024-02-28,19:00:00,Basketball,NBA,N/A,N/A,1900-01-01 18:00:00,2024-02-29 03:00:00,onsale,Los Angeles,California,34.053101,-118.2649,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdJ9G7,Z7r9jZ1AdJ9G7,Crypto.com Arena
31,P!NK: Summer Carnival 2024,2024-09-13,18:30:00,Rock,Pop,320.0,79.95,2023-12-11 18:00:00,2024-09-14 05:30:00,onsale,Las Vegas ,Nevada,36.0909,-115.1833,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-las-vegas-nevada-09-13-2024/event/17005F7D41C37B1B,G5vjZ9MgvYMih,Allegiant Stadium
32,Eagles - The Long Goodbye,2024-03-09,19:30:00,Rock,Pop,495.5,145.5,2023-11-06 16:00:00,2024-03-10 00:30:00,onsale,Chicago,Illinois,41.88124412,-87.67427375,"By purchasing tickets to this event, you agree to abide by the health and safety measures in effect at the time of the event. Check back often for updates to your event venue website as guidelines are subject to change.",USD,https://www.ticketmaster.com/eagles-the-long-goodbye-chicago-illinois-03-09-2024/event/04005F5CCF012A30,vvG18Z9gS2Z3IY,United Center
33,P!NK: Summer Carnival 2024,2024-09-11,18:30:00,Rock,Pop,320.95,45.95,2023-12-11 18:00:00,2024-09-12 03:30:00,onsale,San Diego,California,32.70709659,-117.15680771,Show: 6:30 pm,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-san-diego-california-09-11-2024/event/0A005F7D0739464B,vvG1IZ9MV6Cf_5,Petco Park
34,P!NK Live 2024,2024-10-18,19:30:00,Rock,Pop,1049.95,59.95,2024-01-26 16:00:00,2024-10-19 02:30:00,onsale,Saint Paul,Minnesota,44.94489438,-93.10121819,N/A,USD,https://www.ticketmaster.com/pnk-live-2024-saint-paul-minnesota-10-18-2024/event/0600602AD7F14DD8,vv17bZbeGkl9HfMb,Xcel Energy Center
35,P!NK: Summer Carnival 2024,2024-11-18,18:30:00,Rock,Pop,299.95,49.95,2023-12-11 15:00:00,2024-11-19 00:30:00,onsale,Orlando,Florida,28.538255,-81.402071,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-orlando-florida-11-18-2024/event/22005F7DDD271693,G5eFZ9MMqasQK,Camping World Stadium
36,Washington Wizards vs. Golden State Warriors,2024-02-27,19:00:00,Basketball,NBA,888.0,60.0,2023-09-07 14:00:00,2024-02-28 01:00:00,onsale,Washington,District of Columbia,38.897412,-77.020029,N/A,USD,https://www.ticketmaster.com/washington-wizards-vs-golden-state-warriors-washington-district-of-columbia-02-27-2024/event/15005F11AC5F261B,G5vfZ9ski9wbh,Capital One Arena
37,P!NK: Summer Carnival 2024,2024-09-15,18:30:00,Rock,Pop,330.95,49.95,2023-12-11 18:00:00,2024-09-16 03:30:00,onsale,Los Angeles,California,34.07359365,-118.23992227,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-los-angeles-california-09-15-2024/event/0B005F7D975F1245,vvG1iZ9MU99saA,Dodger Stadium
38,P!NK Live 2024,2024-11-11,19:30:00,Rock,Pop,349.95,59.95,2024-01-26 15:00:00,2024-11-12 01:30:00,onsale,Raleigh,North Carolina,35.803242,-78.722936,Ticket prices include a 7.25% sales tax. All guests age 2 & older are required to have a ticket. NO re-entry.,USD,https://www.ticketmaster.com/pnk-live-2024-raleigh-north-carolina-11-11-2024/event/2D005E50BB814DAD,G5eVZ9PeDOfUc,PNC Arena
39,P!NK Live 2024,2024-11-08,19:30:00,Rock,Pop,350.95,55.95,2023-10-20 15:00:00,2024-11-09 03:30:00,rescheduled,Tulsa,Oklahoma,36.15287358,-95.99613726,N/A,USD,https://www.ticketmaster.com/pnk-live-2024-tulsa-oklahoma-11-08-2024/event/20005F4BB7770D15,G5eZZ9VmMqYV4,BOK Center
40,P!NK Live 2024,2024-10-14,19:30:00,Rock,Pop,349.95,59.95,2024-01-26 15:00:00,2024-10-14 23:30:00,onsale,Detroit,Michigan,42.341089,-83.055434,N/A,USD,https://www.ticketmaster.com/pnk-live-2024-detroit-michigan-10-14-2024/event/08006033D37555B5,vv1AFZkZSGkdKq4pg,Little Caesars Arena
41,P!NK Live 2024,2024-10-09,19:30:00,Rock,Pop,424.45,64.45,2024-01-26 15:00:00,2024-10-10 01:30:00,onsale,Columbus,Ohio,40.0080079,-83.0249081,The Ticket Office (venue's Northeast corner) lobby will be open from 9AM to 4PM M-F with extended hours on event days. Contact us at athletic.tix@osu.edu or 1-800-GO-BUCKS (1-800-462-8257).,USD,https://www.ticketmaster.com/pnk-live-2024-columbus-ohio-10-09-2024/event/05006033AB146DE6,vv1AAZkZSGkelAkMJ,Schottenstein Center
42,Monster Jam,2024-03-02,19:00:00,Motorsports/Racing,Motorsports/Racing,100.0,17.5,2023-09-19 14:00:00,2024-03-03 01:00:00,onsale,Orlando,Florida,28.538255,-81.402071,"Experience full-throttle family fun at Monster Jam®, where the world's best drivers and their 12,000-pound monster trucks tear up the dirt in wide-open competitions of speed and skill. You'll be on the edge of your seat watching your favorites like the legendary Grave Digger®, mighty Megalodon® and more show off crazy skills, massive stunts and all-out racing. Monster Jam. As Big As It Gets!",USD,https://www.ticketmaster.com/monster-jam-orlando-florida-03-02-2024/event/22005ED0936CBC8D,G5eFZ9ceKh5wu,Camping World Stadium
43,Detroit Red Wings vs. Florida Panthers,2024-03-02,15:00:00,Hockey,NHL,391.0,75.0,2023-08-04 14:00:00,2024-03-02 21:00:00,onsale,Detroit,Michigan,42.341089,-83.055434,"Bags, Purses, Clutches larger than 4"" x 6"" x 1.5"" are prohibited. Diaper Bags and Medical Bags are permitted and should be no larger than 14"" x 14"" x 6"". The venue is CASHLESS. All tickets are MOBILE. Please download the Ticketmaster App to view and manage your tickets. Please plan to arrive early to reduce your wait time to enter the venue.",USD,https://www.ticketmaster.com/detroit-red-wings-vs-florida-panthers-detroit-michigan-03-02-2024/event/08005ED5C3B63CA1,vvG1OZ9c9dcNw-,Little Caesars Arena
44,P!NK Live 2024,2024-10-20,19:30:00,Rock,Pop,369.95,59.95,2024-01-26 16:00:00,2024-10-21 02:30:00,onsale,Lincoln,Nebraska,40.81827927,-96.7089386,N/A,USD,https://www.ticketmaster.com/pnk-live-2024-lincoln-nebraska-10-20-2024/event/06006032DD356B90,vv1AkZkZwGkdqupm8,Pinnacle Bank Arena
45,Los Angeles Lakers vs Golden State Warriors,2024-03-16,17:30:00,Basketball,NBA,7350.0,125.0,2023-08-25 19:00:00,2024-03-17 00:30:00,onsale,Los Angeles,California,34.043003,-118.267253,N/A,USD,https://www.ticketmaster.com/los-angeles-lakers-vs-golden-state-los-angeles-california-03-16-2024/event/2C005F109C360D50,G5eYZ9sejuOg8,Crypto.com Arena
46,Eagles - The Long Goodbye,2024-03-08,19:30:00,Rock,Pop,495.5,145.5,2023-11-03 15:00:00,2024-03-09 00:30:00,onsale,Chicago,Illinois,41.88124412,-87.67427375,"By purchasing tickets to this event, you agree to abide by the health and safety measures in effect at the time of the event. Check back often for updates to your event venue website as guidelines are subject to change.",USD,https://www.ticketmaster.com/eagles-the-long-goodbye-chicago-illinois-03-08-2024/event/04005F570C583CC1,vvG18Z9gjGpdSv,United Center
47,P!NK Live 2024,2024-11-14,19:30:00,Rock,Pop,404.95,64.95,2024-01-26 15:00:00,2024-11-15 01:30:00,onsale,Atlanta,Georgia,33.757796,-84.394569,N/A,USD,https://www.ticketmaster.com/pnk-live-2024-atlanta-georgia-11-14-2024/event/0E006032EDCD3EA4,vvG1zZbd5cSKB0,State Farm Arena
48,New York Yankees vs. Toronto Blue Jays,2024-04-05,13:05:00,Baseball,MLB,575.0,85.0,2024-01-23 19:00:00,2024-04-05 17:05:00,onsale,Bronx,New York,40.8285237,-73.9276264,"Please adhere to published limits. Persons who exceed the ticket limit may have any or all of their orders and tickets cancelled without notice by Ticketmaster in its discretion. This includes orders associated with the same name, e-mail, billing address, credit card number or other information. If you purchase tickets, you may receive customer service messages via email from the New York Yankees, including optional surveys regarding your baseball experience. Ticket holder assumes all risk of injury from balls and bats entering the stands. Please note that protective netting of varying heights is used in the Stadium from Section 011 to behind home plate to Section 029. For more information, please visit yankees.com/netting. The number of innings in a regulation game shall be determined by MLB and may be shortened in accordance with MLB rules. Licensor makes no representation, warranty and/or guarantee that nine (9) innings will be played in any regulation game.",USD,https://www.ticketmaster.com/new-york-yankees-vs-toronto-blue-bronx-new-york-04-05-2024/event/1D005F26CC034BF3,G5vVZ9whGZVRS,Yankee Stadium
49,Brooklyn Nets v. Los Angeles Lakers,2024-03-31,18:00:00,Basketball,NBA,7600.0,219.0,2023-08-17 19:00:00,2024-03-31 23:00:00,onsale,Brooklyn,New York,40.68285,-73.97519,N/A,USD,https://www.ticketmaster.com/brooklyn-nets-v-los-angeles-lakers-brooklyn-new-york-03-31-2024/event/30005F03CE5F319F,G5dZZ9Y2C9SkL,Barclays Center
50,Indiana Pacers vs. Los Angeles Lakers,2024-03-29,19:00:00,Basketball,NBA,1178.0,102.0,2023-09-27 18:00:00,2024-03-30 00:00:00,onsale,Indianapolis,Indiana,39.764064,-86.155507,N/A,USD,https://www.ticketmaster.com/indiana-pacers-vs-los-angeles-lakers-indianapolis-indiana-03-29-2024/event/05005F10E63D5B55,vvG1fZ9sdJ24c4,Gainbridge Fieldhouse
51,P!NK: Summer Carnival 2024,2024-11-23,18:30:00,Rock,Pop,299.95,49.95,2023-12-11 15:00:00,2024-11-24 03:00:00,onsale,Miami,Florida,25.778046,-80.219716,N/A,USD,https://www.ticketmaster.com/pnk-summer-carnival-2024-miami-florida-11-23-2024/event/0D005F67D9CF1BD5,vvG1VZ9UL_SsR4,loanDepot park
52,P!NK Live 2024,2024-11-20,19:30:00,Rock,Pop,362.95,62.95,2024-01-26 15:00:00,2024-11-21 02:30:00,onsale,Columbia,South Carolina,33.9942619,-81.036104,N/A,USD,https://www.ticketmaster.com/pnk-live-2024-columbia-south-carolina-11-20-2024/event/2D00603217F86FD2,G5eVZbdF9XkT3,Colonial Life Arena
53,Los Angeles Lakers vs Washington Wizards,2024-02-29,19:30:00,Basketball,NBA,5100.0,59.0,2023-08-25 19:00:00,2024-03-01 03:30:00,onsale,Los Angeles,California,34.043003,-118.267253,N/A,USD,https://www.ticketmaster.com/los-angeles-lakers-vs-washington-wizards-los-angeles-california-02-29-2024/event/2C005F109C240D3C,G5eYZ9sejaZVH,Crypto.com Arena
54,Los Angeles Dodgers vs. Los Angeles Angels,2024-03-24,16:10:00,Baseball,MLB,N/A,N/A,1900-01-01 18:00:00,2024-03-24 23:10:00,onsale,Los Angeles,California,34.0658,-118.2388,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1A7ZSQ8,Z7r9jZ1A7ZSQ8,Dodger Stadium
