,Name,Date,Time,Category,SubCategory,Max,Min,SalesStart,SalesEnd,Status,City,State,Latitude,Longitude,Description,Currency,URL,ID,Venues
427,Hamilton (Touring),2024-07-28,13:00:00,Theatre,Musical,199.0,49.0,2023-12-11 16:00:00,2024-07-28 19:00:00,onsale,Tempe,Arizona,33.4170454,-111.9399956,"A revolutionary story of passion, unstoppable ambition, and the dawn of a new nation. HAMILTON is the epic saga that follows the rise of Founding Father Alexander Hamilton as he fights for honor, love, and a legacy that would shape the course of a nation. Based on Ron Chernow's acclaimed biography and set to a score that blends hip-hop, jazz, R&B, and Broadway, HAMILTON has had a profound impact on culture, politics, and education. HAMILTON features book, music, and lyrics by Lin-Manuel Miranda, direction by Thomas Kail, choreography by Andy Blankenbuehler, and musical supervision and orchestrations by Alex Lacamoire. In addition to its 11 Tony Awards, it has won Grammy, Olivier Awards, the Pulitzer Prize for Drama, and an unprecedented special citation from the Kennedy Center Honors",USD,https://www.ticketmaster.com/hamilton-touring-tempe-arizona-07-28-2024/event/19005F7699C21485,G5v0Z9MQ_Y-3A,N/A
428,New York Yankees v. Toronto Blue Jays * Premium Seating *,2024-04-05,13:05:00,Baseball,MLB,2000.0,750.0,2024-01-23 19:00:00,2024-04-05 17:05:00,onsale,Bronx,New York,40.8285237,-73.9276264,"Please adhere to published limits. Persons who exceed the ticket limit may have any or all of their orders and tickets cancelled without notice by Ticketmaster in its discretion. This includes orders associated with the same name, e-mail, billing address, credit card number or other information. If you purchase tickets, you may receive customer service messages via email from the New York Yankees, including optional surveys regarding your baseball experience. Ticket holder assumes all risk of injury from balls and bats entering the stands. Please note that protective netting of varying heights is used in the Stadium from Section 011 to behind home plate to Section 029. For more information, please visit yankees.com/netting. The number of innings in a regulation game shall be determined by MLB and may be shortened in accordance with MLB rules. Licensor makes no representation, warranty and/or guarantee that nine (9) innings will be played in any regulation game.",USD,https://www.ticketmaster.com/new-york-yankees-v-toronto-blue-bronx-new-york-04-05-2024/event/1D005F26C4FE47AA,G5vVZ9wh7T0rn,N/A
429,Cincinnati Reds vs. Los Angeles Dodgers,2024-02-29,18:05:00,Baseball,MLB,0.0,0.0,1900-01-01 06:00:00,2024-03-01 01:05:00,onsale,Goodyear,Arizona,33.423801,-112.401497,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdJdef,Z7r9jZ1AdJdef,N/A
430,Disney On Ice presents Find Your Hero,2024-03-22,19:00:00,Ice Shows,Ice Shows,100.0,20.0,2023-10-10 15:00:00,2024-03-23 00:00:00,onsale,Pensacola,Florida,30.416366,-87.208459,"Discover the hero inside us all when Disney On Ice returns with the magical adventures of favorite Disney stars brought to life like never before. Step inside the music and magic of Encanto with Mirabel and her family as they learn that everyone has a special gift. Sail away with Moana and Maui on their brave journey across the ocean to return the heart of Te Fiti. Join Anna and Elsa on their quest to protect their kingdom. Be inspired by the Disney Princesses with stories of courage, determination and kindness as you swim under the sea with Ariel, explore an enchanted castle with Belle, and belt out your dreams with Rapunzel. Hosted by Mickey and Minnie, experience world-class ice skating, iconic music, and stunning costumes that will make Disney On Ice presents Find Your Hero an experience the whole family will treasure forever. *Note: Costumes not permitted for guests 14 years & older. Visit DisneyOnIce.com for more information.",USD,https://www.ticketmaster.com/disney-on-ice-presents-find-your-pensacola-florida-03-22-2024/event/1B005F2CECC06F92,G5viZ9wSiYkX3,N/A
431,Cincinnati Reds vs. Los Angeles Dodgers,2024-05-25,19:15:00,Baseball,MLB,0.0,0.0,1900-01-01 18:00:00,2024-05-25 23:15:00,onsale,Cincinnati,Ohio,39.1064,-84.501404,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdP-Qp,Z7r9jZ1AdP-Qp,N/A
432,Philadelphia Phillies vs. New York Yankees,2024-07-31,12:35:00,Baseball,MLB,0.0,0.0,1900-01-01 18:00:00,2024-07-31 16:35:00,onsale,Philadelphia,Pennsylvania,39.910999,-75.153397,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdP_80,Z7r9jZ1AdP_80,N/A
433,Tampa Bay Rays vs. New York Yankees,2024-02-27,13:05:00,Baseball,MLB,0.0,0.0,1900-01-01 18:00:00,2024-02-27 18:05:00,onsale,Port Charlotte,Florida,26.9751,-82.152,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1A7ZwrF,Z7r9jZ1A7ZwrF,N/A
434,Hamilton (Touring),2024-07-27,19:30:00,Theatre,Musical,199.0,49.0,2023-12-11 16:00:00,2024-07-28 01:30:00,onsale,Tempe,Arizona,33.4170454,-111.9399956,"A revolutionary story of passion, unstoppable ambition, and the dawn of a new nation. HAMILTON is the epic saga that follows the rise of Founding Father Alexander Hamilton as he fights for honor, love, and a legacy that would shape the course of a nation. Based on Ron Chernow's acclaimed biography and set to a score that blends hip-hop, jazz, R&B, and Broadway, HAMILTON has had a profound impact on culture, politics, and education. HAMILTON features book, music, and lyrics by Lin-Manuel Miranda, direction by Thomas Kail, choreography by Andy Blankenbuehler, and musical supervision and orchestrations by Alex Lacamoire. In addition to its 11 Tony Awards, it has won Grammy, Olivier Awards, the Pulitzer Prize for Drama, and an unprecedented special citation from the Kennedy Center Honors",USD,https://www.ticketmaster.com/hamilton-touring-tempe-arizona-07-27-2024/event/19005F7699BE1476,G5v0Z9MQ_R-oU,N/A
435,Atlanta Braves vs. Los Angeles Dodgers,2024-09-16,19:20:00,Baseball,MLB,253.0,22.0,2023-12-01 17:00:00,2024-09-17 00:20:00,onsale,Atlanta,Georgia,33.890304,-84.468127,N/A,USD,https://www.ticketmaster.com/atlanta-braves-vs-los-angeles-dodgers-atlanta-georgia-09-16-2024/event/0E005F6ECA6B3187,vvG1zZ9UD1QSk6,N/A
436,Chicago White Sox vs. Los Angeles Dodgers,2024-06-24,19:10:00,Baseball,MLB,431.0,11.0,2024-02-15 20:00:00,2024-06-25 01:10:00,onsale,Chicago,Illinois,41.8308761,-87.635195,N/A,USD,https://www.ticketmaster.com/chicago-white-sox-vs-los-angeles-chicago-illinois-06-24-2024/event/04005F52C87827B0,vvG18Z9g5FrerY,N/A
437,Boston Red Sox vs. New York Yankees,2024-07-27,19:15:00,Baseball,MLB,0.0,0.0,1900-01-01 06:00:00,2024-07-27 23:15:00,onsale,Boston,Massachusetts,42.346901,-71.102501,N/A,N/A,https://www.ticketmaster.com/event/Z7r9jZ1AdPf-K,Z7r9jZ1AdPf-K,N/A
438,Hamilton (Touring),2024-07-12,19:30:00,Theatre,Musical,199.0,49.0,2023-12-11 16:00:00,2024-07-13 01:30:00,onsale,Tempe,Arizona,33.4170454,-111.9399956,"HAMILTON is the story of America then, told by America now. Featuring a score that blends hip-hop, jazz, R&B and Broadway, HAMILTON has taken the story of American founding father Alexander Hamilton and created a revolutionary moment in theatre-a musical that has had a profound impact on culture, politics, and education. With book, music, and lyrics by Lin-Manuel Miranda, direction by Thomas Kail, choreography by Andy Blankenbuehler, and musical supervision and orchestrations by Alex Lacamoire, HAMILTON is based on Ron Chernow's acclaimed biography. It has won Tony, Grammy, and Olivier Awards, the Pulitzer Prize for Drama, and an unprecedented special citation from the Kennedy Center Honors",USD,https://www.ticketmaster.com/hamilton-touring-tempe-arizona-07-12-2024/event/19005F7698581314,G5v0Z9MQbpvGf,N/A
